resno,state,pc,psu_id,age,women,voted,list_activities,vio_mobilize,vio_demobilize,treatment,control_treat,control_mob,control_demob,contested,bjp_strong,tmc_strong,winner_pc,runnerup_pc,winner_vote,runnerup_vote,margin_pc
551,WEST BENGAL,KRISHNANAGAR,46,32,1,1,,0,0,1,1,1,,1,0,0,TMC,BJP,45,40.37,4.63
552,WEST BENGAL,KRISHNANAGAR,46,42,0,1,,0,0,0,0,0,0,1,0,0,TMC,BJP,45,40.37,4.63
553,WEST BENGAL,KRISHNANAGAR,47,43,1,1,,0,0,2,1,,1,1,0,0,TMC,BJP,45,40.37,4.63
554,WEST BENGAL,KRISHNANAGAR,47,28,0,1,,,,0,0,0,0,1,0,0,TMC,BJP,45,40.37,4.63
555,WEST BENGAL,KRISHNANAGAR,47,35,0,1,,0,0,0,0,0,0,1,0,0,TMC,BJP,45,40.37,4.63
556,WEST BENGAL,KRISHNANAGAR,47,52,0,1,1,0,0,1,1,1,,1,0,0,TMC,BJP,45,40.37,4.63
557,WEST BENGAL,KRISHNANAGAR,47,28,1,1,,0,0,2,1,,1,1,0,0,TMC,BJP,45,40.37,4.63
558,WEST BENGAL,KRISHNANAGAR,47,45,0,1,1,,,1,1,1,,1,0,0,TMC,BJP,45,40.37,4.63
559,WEST BENGAL,KRISHNANAGAR,47,52,0,1,,0,0,2,1,,1,1,0,0,TMC,BJP,45,40.37,4.63
560,WEST BENGAL,KRISHNANAGAR,47,58,1,1,,,,0,0,0,0,1,0,0,TMC,BJP,45,40.37,4.63
561,WEST BENGAL,KRISHNANAGAR,47,24,0,1,,0,0,1,1,1,,1,0,0,TMC,BJP,45,40.37,4.63
562,WEST BENGAL,KRISHNANAGAR,47,39,1,1,1,0,0,0,0,0,0,1,0,0,TMC,BJP,45,40.37,4.63
563,WEST BENGAL,KRISHNANAGAR,47,27,1,1,1,0,0,1,1,1,,1,0,0,TMC,BJP,45,40.37,4.63
564,WEST BENGAL,KRISHNANAGAR,47,32,1,1,2,0,0,2,1,,1,1,0,0,TMC,BJP,45,40.37,4.63
565,WEST BENGAL,KRISHNANAGAR,48,70,1,1,,0,0,0,0,0,0,1,0,0,TMC,BJP,45,40.37,4.63
566,WEST BENGAL,KRISHNANAGAR,48,80,0,1,,0,0,1,1,1,,1,0,0,TMC,BJP,45,40.37,4.63
567,WEST BENGAL,KRISHNANAGAR,48,40,1,1,1,0,0,0,0,0,0,1,0,0,TMC,BJP,45,40.37,4.63
568,WEST BENGAL,KRISHNANAGAR,48,50,0,1,1,0,0,1,1,1,,1,0,0,TMC,BJP,45,40.37,4.63
569,WEST BENGAL,KRISHNANAGAR,48,57,1,1,1,0,0,2,1,,1,1,0,0,TMC,BJP,45,40.37,4.63
570,WEST BENGAL,KRISHNANAGAR,48,43,0,1,1,0,0,2,1,,1,1,0,0,TMC,BJP,45,40.37,4.63
571,WEST BENGAL,KRISHNANAGAR,48,28,1,1,1,0,0,2,1,,1,1,0,0,TMC,BJP,45,40.37,4.63
572,WEST BENGAL,KRISHNANAGAR,48,38,0,1,,0,0,0,0,0,0,1,0,0,TMC,BJP,45,40.37,4.63
573,WEST BENGAL,KRISHNANAGAR,48,35,1,1,,0,0,1,1,1,,1,0,0,TMC,BJP,45,40.37,4.63
574,WEST BENGAL,KRISHNANAGAR,48,32,1,1,2,,,1,1,1,,1,0,0,TMC,BJP,45,40.37,4.63
575,WEST BENGAL,KRISHNANAGAR,48,24,0,1,2,0,0,0,0,0,0,1,0,0,TMC,BJP,45,40.37,4.63
576,WEST BENGAL,KRISHNANAGAR,48,45,0,1,3,0,0,2,1,,1,1,0,0,TMC,BJP,45,40.37,4.63
577,WEST BENGAL,RANAGHAT (SC),49,50,0,1,1,0,0,2,1,,1,0,1,0,BJP,TMC,52.78,37.05,15.73
578,WEST BENGAL,RANAGHAT (SC),49,40,1,1,2,0,0,0,0,0,0,0,1,0,BJP,TMC,52.78,37.05,15.73
579,WEST BENGAL,RANAGHAT (SC),49,33,1,1,2,0,0,2,1,,1,0,1,0,BJP,TMC,52.78,37.05,15.73
580,WEST BENGAL,RANAGHAT (SC),49,50,1,1,,0,0,0,0,0,0,0,1,0,BJP,TMC,52.78,37.05,15.73
581,WEST BENGAL,RANAGHAT (SC),49,30,1,1,1,0,0,1,1,1,,0,1,0,BJP,TMC,52.78,37.05,15.73
582,WEST BENGAL,RANAGHAT (SC),49,28,0,1,1,0,0,0,0,0,0,0,1,0,BJP,TMC,52.78,37.05,15.73
583,WEST BENGAL,RANAGHAT (SC),49,55,0,1,,0,0,1,1,1,,0,1,0,BJP,TMC,52.78,37.05,15.73
584,WEST BENGAL,RANAGHAT (SC),49,48,0,1,1,,,1,1,1,,0,1,0,BJP,TMC,52.78,37.05,15.73
585,WEST BENGAL,RANAGHAT (SC),49,35,1,1,1,0,0,2,1,,1,0,1,0,BJP,TMC,52.78,37.05,15.73
586,WEST BENGAL,RANAGHAT (SC),49,30,1,1,1,0,0,0,0,0,0,0,1,0,BJP,TMC,52.78,37.05,15.73
587,WEST BENGAL,RANAGHAT (SC),49,32,0,1,2,0,0,1,1,1,,0,1,0,BJP,TMC,52.78,37.05,15.73
588,WEST BENGAL,RANAGHAT (SC),49,55,0,1,1,0,0,2,1,,1,0,1,0,BJP,TMC,52.78,37.05,15.73
589,WEST BENGAL,RANAGHAT (SC),50,45,1,0,1,0,0,0,0,0,0,0,1,0,BJP,TMC,52.78,37.05,15.73
590,WEST BENGAL,RANAGHAT (SC),50,39,0,1,3,0,0,1,1,1,,0,1,0,BJP,TMC,52.78,37.05,15.73
591,WEST BENGAL,RANAGHAT (SC),50,40,0,1,1,0,0,0,0,0,0,0,1,0,BJP,TMC,52.78,37.05,15.73
592,WEST BENGAL,RANAGHAT (SC),50,28,1,1,,0,0,0,0,0,0,0,1,0,BJP,TMC,52.78,37.05,15.73
593,WEST BENGAL,RANAGHAT (SC),50,34,1,1,1,0,0,2,1,,1,0,1,0,BJP,TMC,52.78,37.05,15.73
594,WEST BENGAL,RANAGHAT (SC),50,43,0,1,1,0,0,2,1,,1,0,1,0,BJP,TMC,52.78,37.05,15.73
595,WEST BENGAL,RANAGHAT (SC),50,32,0,1,1,0,0,2,1,,1,0,1,0,BJP,TMC,52.78,37.05,15.73
596,WEST BENGAL,RANAGHAT (SC),50,25,0,1,1,0,0,1,1,1,,0,1,0,BJP,TMC,52.78,37.05,15.73
597,WEST BENGAL,RANAGHAT (SC),50,46,1,1,2,0,0,1,1,1,,0,1,0,BJP,TMC,52.78,37.05,15.73
598,WEST BENGAL,RANAGHAT (SC),50,36,1,0,1,0,0,1,1,1,,0,1,0,BJP,TMC,52.78,37.05,15.73
599,WEST BENGAL,RANAGHAT (SC),50,55,0,1,,0,0,0,0,0,0,0,1,0,BJP,TMC,52.78,37.05,15.73
600,WEST BENGAL,RANAGHAT (SC),50,32,1,1,,0,0,2,1,,1,0,1,0,BJP,TMC,52.78,37.05,15.73
601,WEST BENGAL,BANGAON (SC),51,37,1,1,1,0,0,1,1,1,,0,1,0,BJP,TMC,48.85,40.92,7.93
602,WEST BENGAL,BANGAON (SC),51,43,1,1,,0,0,0,0,0,0,0,1,0,BJP,TMC,48.85,40.92,7.93
603,WEST BENGAL,BANGAON (SC),51,50,0,1,,0,0,0,0,0,0,0,1,0,BJP,TMC,48.85,40.92,7.93
604,WEST BENGAL,BANGAON (SC),51,63,0,1,3,0,0,1,1,1,,0,1,0,BJP,TMC,48.85,40.92,7.93
605,WEST BENGAL,BANGAON (SC),51,59,0,1,,0,0,2,1,,1,0,1,0,BJP,TMC,48.85,40.92,7.93
606,WEST BENGAL,BANGAON (SC),51,42,1,1,,0,0,0,0,0,0,0,1,0,BJP,TMC,48.85,40.92,7.93
607,WEST BENGAL,BANGAON (SC),51,42,1,1,,0,0,1,1,1,,0,1,0,BJP,TMC,48.85,40.92,7.93
608,WEST BENGAL,BANGAON (SC),51,50,1,1,,0,0,2,1,,1,0,1,0,BJP,TMC,48.85,40.92,7.93
609,WEST BENGAL,BANGAON (SC),51,65,0,1,,0,0,2,1,,1,0,1,0,BJP,TMC,48.85,40.92,7.93
610,WEST BENGAL,BANGAON (SC),51,30,0,1,1,0,0,1,1,1,,0,1,0,BJP,TMC,48.85,40.92,7.93
611,WEST BENGAL,BANGAON (SC),51,26,1,1,1,0,0,2,1,,1,0,1,0,BJP,TMC,48.85,40.92,7.93
612,WEST BENGAL,BANGAON (SC),51,26,0,1,1,0,0,0,0,0,0,0,1,0,BJP,TMC,48.85,40.92,7.93
613,WEST BENGAL,RANAGHAT (SC),52,49,0,1,3,,,2,1,,1,0,1,0,BJP,TMC,52.78,37.05,15.73
614,WEST BENGAL,RANAGHAT (SC),52,53,0,1,2,0,0,1,1,1,,0,1,0,BJP,TMC,52.78,37.05,15.73
615,WEST BENGAL,RANAGHAT (SC),52,42,1,1,1,0,0,2,1,,1,0,1,0,BJP,TMC,52.78,37.05,15.73
616,WEST BENGAL,RANAGHAT (SC),52,26,1,0,,0,0,1,1,1,,0,1,0,BJP,TMC,52.78,37.05,15.73
617,WEST BENGAL,RANAGHAT (SC),52,50,1,1,1,0,0,0,0,0,0,0,1,0,BJP,TMC,52.78,37.05,15.73
618,WEST BENGAL,RANAGHAT (SC),52,42,0,1,1,0,0,0,0,0,0,0,1,0,BJP,TMC,52.78,37.05,15.73
619,WEST BENGAL,RANAGHAT (SC),52,38,0,1,2,0,0,2,1,,1,0,1,0,BJP,TMC,52.78,37.05,15.73
620,WEST BENGAL,RANAGHAT (SC),52,42,1,1,,0,0,0,0,0,0,0,1,0,BJP,TMC,52.78,37.05,15.73
621,WEST BENGAL,RANAGHAT (SC),52,45,1,1,1,0,0,1,1,1,,0,1,0,BJP,TMC,52.78,37.05,15.73
622,WEST BENGAL,RANAGHAT (SC),52,50,0,1,1,0,0,0,0,0,0,0,1,0,BJP,TMC,52.78,37.05,15.73
623,WEST BENGAL,RANAGHAT (SC),52,37,1,1,1,0,0,2,1,,1,0,1,0,BJP,TMC,52.78,37.05,15.73
624,WEST BENGAL,RANAGHAT (SC),52,40,0,1,2,0,0,1,1,1,,0,1,0,BJP,TMC,52.78,37.05,15.73
625,WEST BENGAL,RANAGHAT (SC),53,77,0,0,1,0,0,1,1,1,,0,1,0,BJP,TMC,52.78,37.05,15.73
626,WEST BENGAL,RANAGHAT (SC),53,35,0,1,,0,0,0,0,0,0,0,1,0,BJP,TMC,52.78,37.05,15.73
627,WEST BENGAL,RANAGHAT (SC),53,44,1,1,0,0,0,0,0,0,0,0,1,0,BJP,TMC,52.78,37.05,15.73
628,WEST BENGAL,RANAGHAT (SC),53,42,0,0,1,0,0,0,0,0,0,0,1,0,BJP,TMC,52.78,37.05,15.73
629,WEST BENGAL,RANAGHAT (SC),53,36,1,1,,0,0,1,1,1,,0,1,0,BJP,TMC,52.78,37.05,15.73
630,WEST BENGAL,RANAGHAT (SC),53,45,1,1,,0,0,2,1,,1,0,1,0,BJP,TMC,52.78,37.05,15.73
631,WEST BENGAL,RANAGHAT (SC),53,35,1,1,2,0,0,1,1,1,,0,1,0,BJP,TMC,52.78,37.05,15.73
632,WEST BENGAL,RANAGHAT (SC),53,32,0,1,2,0,0,2,1,,1,0,1,0,BJP,TMC,52.78,37.05,15.73
633,WEST BENGAL,RANAGHAT (SC),53,55,0,1,1,,,2,1,,1,0,1,0,BJP,TMC,52.78,37.05,15.73
634,WEST BENGAL,RANAGHAT (SC),53,52,0,1,1,0,0,2,1,,1,0,1,0,BJP,TMC,52.78,37.05,15.73
635,WEST BENGAL,RANAGHAT (SC),53,33,1,1,2,0,0,1,1,1,,0,1,0,BJP,TMC,52.78,37.05,15.73
636,WEST BENGAL,RANAGHAT (SC),53,56,1,1,,0,0,0,0,0,0,0,1,0,BJP,TMC,52.78,37.05,15.73
637,WEST BENGAL,BANGAON (SC),54,50,1,1,,,,2,1,,1,0,1,0,BJP,TMC,48.85,40.92,7.93
638,WEST BENGAL,BANGAON (SC),54,58,0,1,1,0,0,2,1,,1,0,1,0,BJP,TMC,48.85,40.92,7.93
639,WEST BENGAL,BANGAON (SC),54,35,0,1,,0,0,1,1,1,,0,1,0,BJP,TMC,48.85,40.92,7.93
640,WEST BENGAL,BANGAON (SC),54,34,1,1,1,0,0,1,1,1,,0,1,0,BJP,TMC,48.85,40.92,7.93
641,WEST BENGAL,BANGAON (SC),54,44,0,0,,0,0,2,1,,1,0,1,0,BJP,TMC,48.85,40.92,7.93
642,WEST BENGAL,BANGAON (SC),54,54,1,0,,,,0,0,0,0,0,1,0,BJP,TMC,48.85,40.92,7.93
643,WEST BENGAL,BANGAON (SC),54,35,1,1,1,,,0,0,0,0,0,1,0,BJP,TMC,48.85,40.92,7.93
644,WEST BENGAL,BANGAON (SC),54,42,1,1,1,,,1,1,1,,0,1,0,BJP,TMC,48.85,40.92,7.93
645,WEST BENGAL,BANGAON (SC),54,40,0,1,,0,0,0,0,0,0,0,1,0,BJP,TMC,48.85,40.92,7.93
646,WEST BENGAL,BANGAON (SC),54,47,0,1,2,0,0,0,0,0,0,0,1,0,BJP,TMC,48.85,40.92,7.93
647,WEST BENGAL,BANGAON (SC),54,42,1,1,1,0,0,1,1,1,,0,1,0,BJP,TMC,48.85,40.92,7.93
648,WEST BENGAL,BANGAON (SC),54,38,0,1,,0,0,2,1,,1,0,1,0,BJP,TMC,48.85,40.92,7.93
649,WEST BENGAL,ASANSOL,55,66,0,1,2,0,0,0,0,0,0,0,1,0,BJP,TMC,51.16,35.19,15.97
650,WEST BENGAL,ASANSOL,55,40,1,1,3,0,0,1,1,1,,0,1,0,BJP,TMC,51.16,35.19,15.97
651,WEST BENGAL,ASANSOL,55,25,1,1,3,0,0,1,1,1,,0,1,0,BJP,TMC,51.16,35.19,15.97
652,WEST BENGAL,ASANSOL,55,65,0,1,3,0,0,0,0,0,0,0,1,0,BJP,TMC,51.16,35.19,15.97
653,WEST BENGAL,ASANSOL,55,68,0,1,2,0,0,2,1,,1,0,1,0,BJP,TMC,51.16,35.19,15.97
654,WEST BENGAL,ASANSOL,55,30,0,1,2,0,0,1,1,1,,0,1,0,BJP,TMC,51.16,35.19,15.97
655,WEST BENGAL,ASANSOL,55,40,1,1,3,0,0,2,1,,1,0,1,0,BJP,TMC,51.16,35.19,15.97
656,WEST BENGAL,ASANSOL,55,60,1,1,1,0,0,2,1,,1,0,1,0,BJP,TMC,51.16,35.19,15.97
657,WEST BENGAL,ASANSOL,55,25,1,1,3,0,0,0,0,0,0,0,1,0,BJP,TMC,51.16,35.19,15.97
658,WEST BENGAL,ASANSOL,55,25,1,1,3,0,0,1,1,1,,0,1,0,BJP,TMC,51.16,35.19,15.97
659,WEST BENGAL,ASANSOL,55,42,0,1,2,0,0,2,1,,1,0,1,0,BJP,TMC,51.16,35.19,15.97
660,WEST BENGAL,ASANSOL,55,19,0,1,2,0,0,0,0,0,0,0,1,0,BJP,TMC,51.16,35.19,15.97
661,WEST BENGAL,BARDHAMAN-DURGAPUR,56,58,1,1,3,0,0,1,1,1,,1,0,0,BJP,TMC,41.76,41.59,0.17
662,WEST BENGAL,BARDHAMAN-DURGAPUR,56,47,0,1,2,0,0,1,1,1,,1,0,0,BJP,TMC,41.76,41.59,0.17
663,WEST BENGAL,BARDHAMAN-DURGAPUR,56,27,1,1,2,0,0,1,1,1,,1,0,0,BJP,TMC,41.76,41.59,0.17
664,WEST BENGAL,BARDHAMAN-DURGAPUR,56,55,0,1,3,0,0,0,0,0,0,1,0,0,BJP,TMC,41.76,41.59,0.17
665,WEST BENGAL,BARDHAMAN-DURGAPUR,56,30,1,1,2,0,,0,0,0,0,1,0,0,BJP,TMC,41.76,41.59,0.17
666,WEST BENGAL,BARDHAMAN-DURGAPUR,56,27,0,1,3,0,0,2,1,,1,1,0,0,BJP,TMC,41.76,41.59,0.17
667,WEST BENGAL,BARDHAMAN-DURGAPUR,56,38,0,1,3,0,0,2,1,,1,1,0,0,BJP,TMC,41.76,41.59,0.17
668,WEST BENGAL,BARDHAMAN-DURGAPUR,56,54,0,1,3,0,0,0,0,0,0,1,0,0,BJP,TMC,41.76,41.59,0.17
669,WEST BENGAL,BARDHAMAN-DURGAPUR,56,25,1,1,1,0,0,2,1,,1,1,0,0,BJP,TMC,41.76,41.59,0.17
670,WEST BENGAL,BARDHAMAN-DURGAPUR,56,40,1,1,2,0,0,2,1,,1,1,0,0,BJP,TMC,41.76,41.59,0.17
671,WEST BENGAL,BARDHAMAN-DURGAPUR,56,60,1,1,3,0,0,1,1,1,,1,0,0,BJP,TMC,41.76,41.59,0.17
672,WEST BENGAL,BARDHAMAN-DURGAPUR,56,21,0,1,3,0,0,0,0,0,0,1,0,0,BJP,TMC,41.76,41.59,0.17
673,WEST BENGAL,BARDHAMAN-DURGAPUR,57,28,0,1,2,0,0,1,1,1,,1,0,0,BJP,TMC,41.76,41.59,0.17
674,WEST BENGAL,BARDHAMAN-DURGAPUR,57,26,0,1,3,0,0,0,0,0,0,1,0,0,BJP,TMC,41.76,41.59,0.17
675,WEST BENGAL,BARDHAMAN-DURGAPUR,57,35,1,1,3,0,0,1,1,1,,1,0,0,BJP,TMC,41.76,41.59,0.17
676,WEST BENGAL,BARDHAMAN-DURGAPUR,57,38,0,1,2,0,0,0,0,0,0,1,0,0,BJP,TMC,41.76,41.59,0.17
677,WEST BENGAL,BARDHAMAN-DURGAPUR,57,46,1,1,3,0,0,2,1,,1,1,0,0,BJP,TMC,41.76,41.59,0.17
678,WEST BENGAL,BARDHAMAN-DURGAPUR,57,35,0,1,3,0,0,1,1,1,,1,0,0,BJP,TMC,41.76,41.59,0.17
679,WEST BENGAL,BARDHAMAN-DURGAPUR,57,32,1,1,2,0,0,0,0,0,0,1,0,0,BJP,TMC,41.76,41.59,0.17
680,WEST BENGAL,BARDHAMAN-DURGAPUR,57,35,1,1,2,0,0,2,1,,1,1,0,0,BJP,TMC,41.76,41.59,0.17
681,WEST BENGAL,BARDHAMAN-DURGAPUR,57,25,1,1,3,0,0,2,1,,1,1,0,0,BJP,TMC,41.76,41.59,0.17
682,WEST BENGAL,BARDHAMAN-DURGAPUR,57,45,0,1,3,0,0,2,1,,1,1,0,0,BJP,TMC,41.76,41.59,0.17
683,WEST BENGAL,BARDHAMAN-DURGAPUR,57,69,1,1,3,0,0,1,1,1,,1,0,0,BJP,TMC,41.76,41.59,0.17
684,WEST BENGAL,BARDHAMAN-DURGAPUR,57,37,0,1,3,0,0,0,0,0,0,1,0,0,BJP,TMC,41.76,41.59,0.17
685,WEST BENGAL,ASANSOL,58,55,0,1,3,0,0,0,0,0,0,0,1,0,BJP,TMC,51.16,35.19,15.97
686,WEST BENGAL,ASANSOL,58,27,0,1,3,0,0,1,1,1,,0,1,0,BJP,TMC,51.16,35.19,15.97
687,WEST BENGAL,ASANSOL,58,33,1,1,2,0,0,2,1,,1,0,1,0,BJP,TMC,51.16,35.19,15.97
688,WEST BENGAL,ASANSOL,58,30,1,1,2,0,0,2,1,,1,0,1,0,BJP,TMC,51.16,35.19,15.97
689,WEST BENGAL,ASANSOL,58,82,0,1,2,0,0,0,0,0,0,0,1,0,BJP,TMC,51.16,35.19,15.97
690,WEST BENGAL,ASANSOL,58,35,1,1,2,0,0,1,1,1,,0,1,0,BJP,TMC,51.16,35.19,15.97
691,WEST BENGAL,ASANSOL,58,60,1,1,2,0,0,1,1,1,,0,1,0,BJP,TMC,51.16,35.19,15.97
692,WEST BENGAL,ASANSOL,58,20,1,1,3,0,0,2,1,,1,0,1,0,BJP,TMC,51.16,35.19,15.97
693,WEST BENGAL,ASANSOL,58,26,0,1,3,0,0,0,0,0,0,0,1,0,BJP,TMC,51.16,35.19,15.97
694,WEST BENGAL,ASANSOL,58,55,0,1,2,0,0,1,1,1,,0,1,0,BJP,TMC,51.16,35.19,15.97
695,WEST BENGAL,ASANSOL,58,24,1,1,3,0,0,0,0,0,0,0,1,0,BJP,TMC,51.16,35.19,15.97
696,WEST BENGAL,ASANSOL,58,26,0,1,2,0,0,2,1,,1,0,1,0,BJP,TMC,51.16,35.19,15.97
697,WEST BENGAL,ASANSOL,59,35,1,1,2,0,0,0,0,0,0,0,1,0,BJP,TMC,51.16,35.19,15.97
698,WEST BENGAL,ASANSOL,59,42,0,1,2,0,0,1,1,1,,0,1,0,BJP,TMC,51.16,35.19,15.97
699,WEST BENGAL,ASANSOL,59,55,0,1,4,,,2,1,,1,0,1,0,BJP,TMC,51.16,35.19,15.97
700,WEST BENGAL,ASANSOL,59,65,0,1,2,0,0,1,1,1,,0,1,0,BJP,TMC,51.16,35.19,15.97
701,WEST BENGAL,ASANSOL,59,27,1,1,3,0,0,0,0,0,0,0,1,0,BJP,TMC,51.16,35.19,15.97
702,WEST BENGAL,ASANSOL,59,36,0,1,3,0,0,2,1,,1,0,1,0,BJP,TMC,51.16,35.19,15.97
703,WEST BENGAL,ASANSOL,59,50,1,1,2,0,0,0,0,0,0,0,1,0,BJP,TMC,51.16,35.19,15.97
704,WEST BENGAL,ASANSOL,59,25,1,1,2,0,0,2,1,,1,0,1,0,BJP,TMC,51.16,35.19,15.97
705,WEST BENGAL,ASANSOL,59,62,1,1,2,0,0,1,1,1,,0,1,0,BJP,TMC,51.16,35.19,15.97
706,WEST BENGAL,ASANSOL,59,48,0,1,2,0,0,2,1,,1,0,1,0,BJP,TMC,51.16,35.19,15.97
707,WEST BENGAL,ASANSOL,59,25,0,1,3,0,0,0,0,0,0,0,1,0,BJP,TMC,51.16,35.19,15.97
708,WEST BENGAL,ASANSOL,59,18,1,1,2,0,0,1,1,1,,0,1,0,BJP,TMC,51.16,35.19,15.97
709,WEST BENGAL,ASANSOL,60,19,0,1,3,0,0,1,1,1,,0,1,0,BJP,TMC,51.16,35.19,15.97
710,WEST BENGAL,ASANSOL,60,60,1,1,2,0,0,0,0,0,0,0,1,0,BJP,TMC,51.16,35.19,15.97
711,WEST BENGAL,ASANSOL,60,47,0,1,2,0,0,2,1,,1,0,1,0,BJP,TMC,51.16,35.19,15.97
712,WEST BENGAL,ASANSOL,60,47,1,1,3,0,0,1,1,1,,0,1,0,BJP,TMC,51.16,35.19,15.97
713,WEST BENGAL,ASANSOL,60,65,1,1,2,0,0,0,0,0,0,0,1,0,BJP,TMC,51.16,35.19,15.97
714,WEST BENGAL,ASANSOL,60,60,1,1,2,0,0,1,1,1,,0,1,0,BJP,TMC,51.16,35.19,15.97
715,WEST BENGAL,ASANSOL,60,40,0,1,2,0,0,2,1,,1,0,1,0,BJP,TMC,51.16,35.19,15.97
716,WEST BENGAL,ASANSOL,60,61,0,1,3,0,0,0,0,0,0,0,1,0,BJP,TMC,51.16,35.19,15.97
717,WEST BENGAL,ASANSOL,60,60,0,1,3,0,0,2,1,,1,0,1,0,BJP,TMC,51.16,35.19,15.97
718,WEST BENGAL,ASANSOL,60,49,1,1,2,0,0,1,1,1,,0,1,0,BJP,TMC,51.16,35.19,15.97
719,WEST BENGAL,ASANSOL,60,45,1,1,2,0,0,0,0,0,0,0,1,0,BJP,TMC,51.16,35.19,15.97
720,WEST BENGAL,ASANSOL,60,19,0,1,3,0,0,2,1,,1,0,1,0,BJP,TMC,51.16,35.19,15.97
721,WEST BENGAL,ASANSOL,61,37,1,1,2,0,0,2,1,,1,0,1,0,BJP,TMC,51.16,35.19,15.97
722,WEST BENGAL,ASANSOL,61,40,0,,2,0,0,0,0,0,0,0,1,0,BJP,TMC,51.16,35.19,15.97
723,WEST BENGAL,ASANSOL,61,80,0,1,3,1,0,2,1,,1,0,1,0,BJP,TMC,51.16,35.19,15.97
724,WEST BENGAL,ASANSOL,61,60,1,1,2,0,0,0,0,0,0,0,1,0,BJP,TMC,51.16,35.19,15.97
725,WEST BENGAL,ASANSOL,61,38,0,1,2,0,0,1,1,1,,0,1,0,BJP,TMC,51.16,35.19,15.97
726,WEST BENGAL,ASANSOL,61,35,0,1,3,0,0,1,1,1,,0,1,0,BJP,TMC,51.16,35.19,15.97
727,WEST BENGAL,ASANSOL,61,40,1,1,3,0,0,2,1,,1,0,1,0,BJP,TMC,51.16,35.19,15.97
728,WEST BENGAL,ASANSOL,61,50,1,1,3,0,0,0,0,0,0,0,1,0,BJP,TMC,51.16,35.19,15.97
729,WEST BENGAL,ASANSOL,61,75,0,1,2,0,0,1,1,1,,0,1,0,BJP,TMC,51.16,35.19,15.97
